,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29
0,0.0,0.07361467182636261,0.20576971769332886,0.3594033420085907,0.685926079750061,1.0660898685455322,1.9282920360565186,3.1123874187469482,5.461392879486084,11.512398719787598,12.751822471618652,15.613961219787598,20.280141830444336,27.279294967651367,46.63730239868164,64.63713073730469,97.44712829589844,110.5768814086914,126.30162811279297,140.20094299316406,204.7456817626953,276.825439453125,433.4373474121094,619.4417724609375,954.2838134765625,1224.3509521484375,1723.7239990234375,2851.665283203125,1955.06982421875
1,0.0,0.07628241181373596,0.15778544545173645,0.2989659309387207,0.6110243201255798,0.9054181575775146,1.5670230388641357,2.484902858734131,4.6344170570373535,8.746383666992188,10.880277633666992,13.835358619689941,18.552629470825195,22.970645904541016,43.74254608154297,65.00958251953125,87.17850494384766,99.77681732177734,104.86428833007812,119.27462768554688,168.76222229003906,236.98773193359375,366.6277160644531,540.8506469726562,837.7381591796875,1094.4508056640625,1342.6402587890625,2332.6220703125,1524.0848388671875
2,0.0,0.09023680537939072,0.20920543372631073,0.4231462776660919,0.8307875394821167,1.1638323068618774,2.1846227645874023,3.4152424335479736,5.432646751403809,10.796810150146484,12.910951614379883,17.73175621032715,22.668292999267578,30.053653717041016,47.7267951965332,70.848876953125,98.44751739501953,109.30928039550781,116.90418243408203,128.0518798828125,193.0113525390625,226.57583618164062,412.6957702636719,598.3023071289062,934.6104736328125,1119.736572265625,1645.20703125,2689.877197265625,1584.85302734375
3,0.0,0.08305514603853226,0.22476354241371155,0.4516558051109314,0.8143287897109985,1.1722954511642456,2.2683794498443604,3.421624183654785,5.875164031982422,11.475860595703125,13.197320938110352,17.193445205688477,22.948841094970703,31.556697845458984,54.70467758178711,72.97796630859375,102.1431655883789,122.06009674072266,117.20014190673828,139.80462646484375,195.91578674316406,269.5108947753906,361.93560791015625,574.0029296875,823.1026000976562,1089.469482421875,1475.9951171875,2568.02587890625,1577.7957763671875
4,0.0,0.10049152374267578,0.2661150097846985,0.5034046769142151,0.9397276043891907,1.3798466920852661,2.7309484481811523,4.233872413635254,6.916696548461914,15.243863105773926,17.703449249267578,21.475385665893555,28.880905151367188,36.382080078125,64.71110534667969,86.7771224975586,131.1231689453125,152.00515747070312,156.11862182617188,181.12820434570312,256.0273742675781,334.47308349609375,525.837158203125,747.8142700195312,1164.3238525390625,1368.4390869140625,2145.08349609375,3462.486572265625,2048.2685546875
5,0.0,0.06832381337881088,0.15233267843723297,0.2610303461551666,0.5698255896568298,0.8266124725341797,1.3678169250488281,2.186293125152588,3.535811424255371,7.547092914581299,9.168972969055176,12.02141284942627,15.386320114135742,20.502422332763672,34.788753509521484,50.09162139892578,77.61387634277344,84.96098327636719,86.58722686767578,103.1198501586914,147.02137756347656,212.69863891601562,293.81658935546875,480.0450134277344,798.9070434570312,999.5528564453125,1334.830078125,2189.395263671875,1300.4254150390625
6,0.0,0.06671525537967682,0.1732531189918518,0.3240911662578583,0.6319537162780762,0.911354660987854,1.7257251739501953,2.737495183944702,4.500500202178955,9.048627853393555,11.276983261108398,14.78609561920166,17.862953186035156,24.416826248168945,40.8948860168457,59.09076690673828,90.18681335449219,93.01210021972656,100.24552917480469,113.86624145507812,172.78160095214844,225.9547576904297,363.8781433105469,592.5408935546875,984.9627075195312,1144.85205078125,1535.277099609375,2612.317626953125,1699.154052734375
7,0.0,0.1045990064740181,0.2662777304649353,0.531239926815033,0.9327700734138489,1.5784704685211182,2.7732160091400146,4.367367744445801,7.153287410736084,15.64621353149414,15.882352828979492,23.356164932250977,25.898229598999023,40.9821891784668,68.3696517944336,81.19149780273438,119.11840057373047,134.05096435546875,167.6156463623047,177.3666229248047,257.3317565917969,349.7066345214844,520.978515625,746.3488159179688,1045.6456298828125,1535.800537109375,2055.1650390625,3433.402587890625,2193.408447265625
8,0.0,0.10971379280090332,0.27023884654045105,0.5087754726409912,0.999046266078949,1.4713467359542847,2.9070558547973633,4.412168025970459,7.074270725250244,14.741578102111816,17.3470516204834,23.700075149536133,28.343029022216797,42.39765167236328,68.93777465820312,89.4046630859375,135.9593505859375,140.39305114746094,154.8485107421875,186.59910583496094,269.02349853515625,343.3546447753906,514.5169677734375,752.515380859375,1122.2618408203125,1522.9788818359375,2117.015869140625,3592.9111328125,1885.1375732421875
9,0.0,0.08500876277685165,0.22068895399570465,0.4217599034309387,0.8458725810050964,1.228177547454834,2.28676700592041,3.4718880653381348,5.347617149353027,12.246350288391113,13.790875434875488,17.540876388549805,21.52383804321289,28.44698715209961,50.74501037597656,62.653892517089844,104.26084899902344,106.66062927246094,115.74180603027344,134.94091796875,201.30628967285156,264.47381591796875,407.2724609375,700.34716796875,923.6956176757812,1179.9822998046875,1612.6048583984375,2556.70361328125,1860.6458740234375
10,0.0,0.08708678185939789,0.23208124935626984,0.42964568734169006,0.8283441066741943,1.304253101348877,2.03116512298584,3.3063883781433105,5.324219226837158,11.4030179977417,12.005622863769531,17.401941299438477,20.771997451782227,30.802400588989258,47.34954833984375,70.7515640258789,103.96428680419922,112.31490325927734,110.33486938476562,141.07400512695312,219.58346557617188,270.0321960449219,394.7369079589844,646.0592651367188,979.7850341796875,1251.7259521484375,1691.391357421875,2802.896240234375,1736.1273193359375
11,0.0,0.10177993029356003,0.2399580031633377,0.44973915815353394,0.8860317468643188,1.333139181137085,2.424668788909912,3.6670384407043457,5.874233722686768,12.838647842407227,14.344491004943848,20.23570442199707,24.364946365356445,34.53541564941406,65.75172424316406,79.52903747558594,125.54925537109375,136.7957305908203,154.75416564941406,195.12901306152344,280.5660705566406,316.78887939453125,567.6658935546875,787.8657836914062,1251.8458251953125,1614.184326171875,2264.224853515625,3877.546142578125,2263.4453125
12,0.0,0.09361498802900314,0.24529695510864258,0.4443134367465973,0.876353919506073,1.1464447975158691,2.2856504917144775,3.302858591079712,5.534039497375488,12.141880989074707,13.801953315734863,20.71708106994629,23.450485229492188,35.727691650390625,55.50589370727539,81.25694274902344,116.57738494873047,140.0244598388672,142.4821319580078,159.6507568359375,236.93551635742188,335.4084167480469,517.7974853515625,868.7088012695312,1212.8084716796875,1506.2421875,2175.876953125,3643.225830078125,2287.260498046875
13,0.0,0.10192164033651352,0.23460932075977325,0.4590250551700592,0.8824291229248047,1.2562533617019653,2.439718008041382,3.67482590675354,6.0370635986328125,12.608686447143555,15.676133155822754,18.627504348754883,24.32013511657715,34.319007873535156,62.82799530029297,87.12950134277344,142.54454040527344,146.78466796875,153.9593505859375,182.30816650390625,265.9798278808594,366.7164611816406,563.311767578125,839.0692749023438,1171.84716796875,1544.7742919921875,2175.906005859375,3644.76123046875,2269.0908203125
14,0.0,0.11785057932138443,0.297685444355011,0.537994921207428,1.0662447214126587,1.5000206232070923,2.840230703353882,4.81776762008667,6.710850715637207,14.208614349365234,17.10433006286621,22.780254364013672,27.635581970214844,38.8045539855957,66.52201843261719,97.6231689453125,138.40487670898438,151.36888122558594,167.76979064941406,191.9149169921875,300.3284912109375,351.1896667480469,546.4238891601562,920.2455444335938,1343.9215087890625,1644.153564453125,2384.888916015625,4172.39208984375,2514.231689453125
15,0.0,0.1286289542913437,0.28712373971939087,0.5295946002006531,1.055770993232727,1.4634629487991333,2.6484005451202393,4.291779041290283,6.98768949508667,15.834811210632324,17.59921646118164,24.222915649414062,29.111513137817383,42.22768020629883,70.71031951904297,100.28518676757812,146.6690216064453,159.45648193359375,180.27149963378906,201.81417846679688,301.8893127441406,383.8033447265625,641.9310913085938,969.7556762695312,1485.6219482421875,1876.1907958984375,2473.174072265625,4086.186767578125,2750.7412109375
16,0.0,0.08511944860219955,0.22993780672550201,0.45425355434417725,0.8864254355430603,1.3610124588012695,2.0983564853668213,3.623138427734375,5.92548942565918,12.11962890625,13.911782264709473,21.056386947631836,25.91440773010254,33.54944610595703,60.56319046020508,81.255615234375,122.09577178955078,136.84359741210938,136.8728790283203,154.74600219726562,234.04635620117188,326.78558349609375,473.71746826171875,764.846435546875,1126.818359375,1516.28369140625,2098.967041015625,3373.06396484375,2028.2672119140625
17,0.0,0.06770871579647064,0.16664251685142517,0.3126453459262848,0.58780837059021,0.9497544169425964,1.5588536262512207,2.8369698524475098,4.30360746383667,9.306012153625488,10.120214462280273,13.273451805114746,16.714853286743164,25.661043167114258,42.60802459716797,59.50300979614258,92.98478698730469,97.9611587524414,109.10816192626953,116.7116470336914,185.69873046875,256.9514465332031,375.9175109863281,626.1116333007812,908.0325927734375,1193.4178466796875,1654.1014404296875,2583.773193359375,1632.86474609375
18,0.0,0.09350660443305969,0.23575180768966675,0.4586925804615021,0.8129235506057739,1.289163589477539,2.0559704303741455,3.332272529602051,5.785219192504883,11.105205535888672,13.113788604736328,17.191728591918945,21.302419662475586,30.679325103759766,51.36149597167969,70.62278747558594,98.65483093261719,117.07608795166016,121.49636840820312,141.86134338378906,191.267578125,245.61074829101562,392.13836669921875,543.0721435546875,814.5817260742188,1055.0728759765625,1473.1910400390625,2402.841552734375,1512.93701171875
19,0.0,0.08773315697908401,0.23381341993808746,0.40195363759994507,0.7980787754058838,1.1717448234558105,2.308730125427246,3.1886870861053467,5.109574794769287,12.018509864807129,12.257692337036133,16.903776168823242,23.729156494140625,32.787689208984375,52.69108963012695,74.22909545898438,121.88314056396484,120.95675659179688,129.41790771484375,146.26022338867188,207.53692626953125,280.6858215332031,418.68487548828125,680.749267578125,993.5084838867188,1184.444091796875,1711.03271484375,2776.074951171875,1950.06689453125
20,0.0,0.0930761843919754,0.24020090699195862,0.4477422833442688,0.9123787879943848,1.3512320518493652,2.266751527786255,3.4969019889831543,6.183728218078613,12.417593955993652,14.374309539794922,19.721149444580078,24.40683364868164,35.385868072509766,58.20710754394531,85.25630187988281,122.17203521728516,128.75514221191406,147.44186401367188,157.37132263183594,246.17135620117188,343.9922180175781,504.4689636230469,860.6621704101562,1285.4810791015625,1472.966796875,2049.51171875,3398.75927734375,2235.248291015625
